pageId	url	title	lastModified	fetchedAt	size	statusCode	fetched	htmlSnapshot	textSnapshot	lastError
1	https://www.cse.ust.hk/~kwtleung/COMP4321/testpage.htm	Test page	2023-05-16T05:03:16Z	2026-04-23T11:05:23.7098343Z	603	200	true	pages\html\page-0001.html	pages\text\page-0001.txt	
2	https://www.cse.ust.hk/~kwtleung/COMP4321/ust_cse.htm	CSE department of HKUST	2023-05-16T05:03:16Z	2026-04-23T11:05:23.7964566Z	392	200	true	pages\html\page-0002.html	pages\text\page-0002.txt	
3	https://www.cse.ust.hk/~kwtleung/COMP4321/news.htm	News	2023-05-16T05:03:16Z	2026-04-23T11:05:23.8161617Z	384	200	true	pages\html\page-0003.html	pages\text\page-0003.txt	
4	https://www.cse.ust.hk/~kwtleung/COMP4321/books.htm	books	2023-05-16T05:03:16Z	2026-04-23T11:05:23.8374449Z	601	200	true	pages\html\page-0004.html	pages\text\page-0004.txt	
5	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie.htm	Movie Index Page	2023-05-16T05:09:22Z	2026-04-23T11:05:23.8522912Z	19541	200	true	pages\html\page-0005.html	pages\text\page-0005.txt	
6	https://www.cse.ust.hk/~kwtleung/COMP4321/ust_cse/PG.htm	PG	2023-05-16T05:03:46Z	2026-04-23T11:05:23.916203Z	3267	200	true	pages\html\page-0006.html	pages\text\page-0006.txt	
7	https://www.cse.ust.hk/~kwtleung/COMP4321/ust_cse/UG.htm	UG	2023-05-16T05:03:46Z	2026-04-23T11:05:23.9490705Z	4070	200	true	pages\html\page-0007.html	pages\text\page-0007.txt	
8	https://www.cse.ust.hk/~kwtleung/COMP4321/news/bbc.htm	BBC news	2023-05-16T05:03:44Z	2026-04-23T11:05:23.982392Z	499	200	true	pages\html\page-0008.html	pages\text\page-0008.txt	
9	https://www.cse.ust.hk/~kwtleung/COMP4321/news/cnn.htm	CNN news	2023-05-16T05:03:44Z	2026-04-23T11:05:24.0158005Z	448	200	true	pages\html\page-0009.html	pages\text\page-0009.txt	
10	https://www.cse.ust.hk/~kwtleung/COMP4321/books/book1.htm	book1	2023-05-16T05:03:16Z	2026-04-23T11:05:24.0497939Z	1617	200	true	pages\html\page-0010.html	pages\text\page-0010.txt	
11	https://www.cse.ust.hk/~kwtleung/COMP4321/books/book2.htm	book2	2023-05-16T05:03:16Z	2026-04-23T11:05:24.0740678Z	2084	200	true	pages\html\page-0011.html	pages\text\page-0011.txt	
12	https://www.cse.ust.hk/~kwtleung/COMP4321/books/book3.htm	book3	2023-05-16T05:03:16Z	2026-04-23T11:05:24.1155341Z	1994	200	true	pages\html\page-0012.html	pages\text\page-0012.txt	
13	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/1.html	Dinosaur Planet (2003)	2023-05-16T05:03:16Z	2026-04-23T11:05:24.1410928Z	3605	200	true	pages\html\page-0013.html	pages\text\page-0013.txt	
14	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/2.html	Isle of Man TT 2004 Review (2004)	2023-05-16T05:03:26Z	2026-04-23T11:05:24.1692901Z	2868	200	true	pages\html\page-0014.html	pages\text\page-0014.txt	
15	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/3.html	Character (1997)	2023-05-16T05:03:36Z	2026-04-23T11:05:24.2026147Z	4008	200	true	pages\html\page-0015.html	pages\text\page-0015.txt	
16	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/4.html	Paula Abdul's Get Up and Dance (1994)	2023-05-16T05:03:38Z	2026-04-23T11:05:24.2358339Z	2820	200	true	pages\html\page-0016.html	pages\text\page-0016.txt	
17	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/5.html	The Rise and Fall of ECW (2004)	2023-05-16T05:03:38Z	2026-04-23T11:05:24.2693377Z	3928	200	true	pages\html\page-0017.html	pages\text\page-0017.txt	
18	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/6.html	Sick (1997)	2023-05-16T05:03:40Z	2026-04-23T11:05:24.2840024Z	5243	200	true	pages\html\page-0018.html	pages\text\page-0018.txt	
