pageId	url	title	lastModified	size	bodyFile
1	https://www.cse.ust.hk/~kwtleung/COMP4321/testpage.htm	Test page	2023-05-16T05:03:16Z	603	page-0001-body.txt
2	https://www.cse.ust.hk/~kwtleung/COMP4321/ust_cse.htm	CSE department of HKUST	2023-05-16T05:03:16Z	392	page-0002-body.txt
3	https://www.cse.ust.hk/~kwtleung/COMP4321/news.htm	News	2023-05-16T05:03:16Z	384	page-0003-body.txt
4	https://www.cse.ust.hk/~kwtleung/COMP4321/books.htm	books	2023-05-16T05:03:16Z	601	page-0004-body.txt
5	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie.htm	Movie Index Page	2023-05-16T05:09:22Z	19541	page-0005-body.txt
6	https://www.cse.ust.hk/~kwtleung/COMP4321/ust_cse/PG.htm	PG	2023-05-16T05:03:46Z	3267	page-0006-body.txt
7	https://www.cse.ust.hk/~kwtleung/COMP4321/ust_cse/UG.htm	UG	2023-05-16T05:03:46Z	4070	page-0007-body.txt
8	https://www.cse.ust.hk/~kwtleung/COMP4321/news/bbc.htm	BBC news	2023-05-16T05:03:44Z	499	page-0008-body.txt
9	https://www.cse.ust.hk/~kwtleung/COMP4321/news/cnn.htm	CNN news	2023-05-16T05:03:44Z	448	page-0009-body.txt
10	https://www.cse.ust.hk/~kwtleung/COMP4321/books/book1.htm	book1	2023-05-16T05:03:16Z	1617	page-0010-body.txt
11	https://www.cse.ust.hk/~kwtleung/COMP4321/books/book2.htm	book2	2023-05-16T05:03:16Z	2084	page-0011-body.txt
12	https://www.cse.ust.hk/~kwtleung/COMP4321/books/book3.htm	book3	2023-05-16T05:03:16Z	1994	page-0012-body.txt
13	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/1.html	Dinosaur Planet (2003)	2023-05-16T05:03:16Z	3605	page-0013-body.txt
14	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/2.html	Isle of Man TT 2004 Review (2004)	2023-05-16T05:03:26Z	2868	page-0014-body.txt
15	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/3.html	Character (1997)	2023-05-16T05:03:36Z	4008	page-0015-body.txt
16	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/4.html	Paula Abdul's Get Up and Dance (1994)	2023-05-16T05:03:38Z	2820	page-0016-body.txt
17	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/5.html	The Rise and Fall of ECW (2004)	2023-05-16T05:03:38Z	3928	page-0017-body.txt
18	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/6.html	Sick (1997)	2023-05-16T05:03:40Z	5243	page-0018-body.txt
19	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/7.html	8 Man (1992)	2023-05-16T05:03:40Z	3498	page-0019-body.txt
20	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/8.html	What the #$*! Do We Know!? (2004)	2023-05-16T05:03:42Z	4147	page-0020-body.txt
21	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/9.html	Class of Nuke 'Em High 2 (1991)	2023-05-16T05:03:44Z	7075	page-0021-body.txt
22	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/10.html	Fighter (2001)	2023-05-16T05:03:16Z	13199	page-0022-body.txt
23	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/11.html	Full Frame: Documentary Shorts (1999)	2023-05-16T05:03:18Z	2700	page-0023-body.txt
24	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/12.html	My Favorite Brunette (1947)	2023-05-16T05:03:18Z	6432	page-0024-body.txt
25	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/13.html	Lord of the Rings: The Return of the King: Extended Edition: Bonus Material (2003)	2023-05-16T05:03:20Z	2997	page-0025-body.txt
26	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/14.html	Nature: Antarctica (1982)	2023-05-16T05:03:20Z	3711	page-0026-body.txt
